Date Elicited,utterance,morphemes,gloss,translation,comments,,tags,CheckedWithConsultant,source/publication,a.field-with*dangerous characters (for import)
5/7/2010,*Qanta Qankuna paqarinaykunkichis,Qan-ta qan-kuna paqari-nay-kunkichis,you-ACC you-PL-NOM yell-DES-refl.2PL,`You feel like yelling at you all.’,,,Impulsative Person Agreement Reflexive,Ricardo,Cusco Quechua
5/7/2010,Qanta paykuna qaparinwanku.,Qan-ta pay-kuna qapari-nay-wanku,you-ACC he-PL-NOM yell.3PL.2SGOM,`You feel like yelling at them.’,,,Impulsative Person Agreement ,Ricardo,Cusco Quechua
5/12/2010,Victor(ta) tusunayan,Victor-(ta) tusu-naya-n,Victor-ACC dance-DES-3SG,`Victor feels like dancing.’,acc not obligatory,,case marking,Seberina,Cusco Quechua
5/12/2010,Qoniynaywan t’antata,Qoniy-nay-wa-n t’anta-ta,heat-DES-1OB bread-ACC,`I feel like heating up the bread’,I’m surprised there is no caus marker,,causative verb,Seberina,Cusco Quechua
5/12/2010,Ruphanaywan t’antata,Rupha-nay-wa-n t’anta-ta,burn-DES-1OB bread-ACC,`I feel like burning the bread.’,again no caus marker...,,causative verb,Seberina,Cusco Quechua
5/12/2010,Wananaywan ruphayta t’antata,Wana-nay-wa-n rupha-y-ta t’anta-ta,jamas-DES-1OM-3SG burn-ACC bread-ACC,`I feel like never burning the bread.’,this is an interesting verb...,,verb class,Seberina,Cusco Quechua
5/10/2010,Llank’anaywan,Llank’a-nay-wa-n,work-DES-1OM-3SG,`I feel like working.’,,,Verbal Restrictions Unergative,Seberina,Cusco Quechua
5/10/2010,punqota allchanaywan ,punqo-ta allcha-nay-wa-n ,door-ACC fix-DES-1OM-3SG,`I feel like fixing the door.’,,,verbal restrictions resultative,Seberina,Cusco Quechua
5/10/2010,Hallpanaywan ,Hall-pa-nay-wa-n ,chew coca-DES-1OM-3SG,`I feel like chewing coca.’,,,verbal restrictions unergative,Seberina,Cusco Quechua
5/10/2010,*P’achakunaywan,P’acha-ku-nay-wa-n,dress.refl-DES-1OM-3SG,`I feel like dressing myself.’,,,Verbal Restrictions Reflexives,Seberina,Cusco Quechua
5/10/2010,Noqanchis qawanakunaysanchis,Noqa-nchis qawa-na-ku-nay-sanchis,we.incl criticize.recr.1PLOM.1PL,`We feel like criticizing each other.’,,,Verbal restrictions reciprocal,Seberina,Cusco Quechua
5/10/2010,Nayach’anaywan,Nayach’a-nay-wa-n,cOMb-DES-1OM-3SG,`I feel like cOMbing’,no ku,,Verbal Restrictions Reflexive,Seberina,Cusco Quechua
5/10/2010,Kichanaywan punqota,Kicha-nay-wa-n punqo-ta,open-DES-1OM-3SG door-ACC,`I feel like opening the door.’,,,Verbal restrictions Causative,Seberina,Cusco Quechua
5/10/2010,Wesq’anaywan (punqota),Wesq’a-nay-wa-n (punqo-ta),close-DES-1OM-3SG door-ACC,`I feel like closing the door.’,all arguments are understood,,Verbal restrictions Causative,Seberina,Cusco Quechua
5/10/2010,wanyunaywan,Wanyu-nay-wa-n,die-DES-1OM-3SG,`I feel like dying.’,,,Verbal restrictions Unaccusative,Seberina,Cusco Quechua
5/10/2010,p’akinaywan punqota,p’aki-nay-wa-n punqo-ta,break-DES-1OM-3SG door-ACC,`I feel like breaking the door.’,,,Verbal restrictions Resultative,Seberina,Cusco Quechua
5/10/2010,*kausanaywan,kausa-nay-wa-n,live-DES-1OM-3SG,`I feel like living.’,,,Verbal restrictions unaccusative,Seberina,Cusco Quechua
5/10/2010,chayanaywan,Chaya-nay-wa-n,arrive-DES-1OM-3SG,`I feel like arriving.’,,,Verbal restrictions unaccusative,Seberina,Cusco Quechua
5/10/2010,*paranayan,para-naya-n,rain-DES-3SG,`It feels like its going to rain.’,paranay munashan,,Verbal restrictions weather predicate,Seberina,Cusco Quechua
5/10/2010,wesq’ani *(punqota),wesq’a-ni (punqo-ta),close.1SG door-ACC,`I close the door.’,cannot drop object,,object dropping,Seberina,Cusco Quechua
5/10/2010,Hanllarinaywan,Hanllari-nay-wan,yawn-DES-1OM-3SG,`I feel like yawning.’,,,Verbal restrictions bodily functions,Seberina,Cusco Quechua
5/10/2010,Uhunaywanshan,Uhu-nay-wa-sha-n,cough-DES-1OM-3SG,`I feel like coughing.’,,,Verbal restrictions bodily functions,Seberina,Cusco Quechua
5/10/2010,Aqtunaywan,Aqtu-nay-wa-n,vOMit-DES-1OM-3SG,`I feel like vOMiting’,,,Verbal restrictions bodily functions,Seberina,Cusco Quechua
5/18/2010,taqsakunayawan,Taqsa-ku-naya-wa-n,wash.refl-DES-1OM-3SG.3SG,tengo ganas de lavar el cabello,,,impulsative verbal restriction,Magda,Cusco Quechua
5\18\2010,Qhepakunaywan,Qhepa-ku-nay-wa-n,stay-DES-1OM-3SG,`I feel like staying.',,,, Ricardo, Cusco Quechua
